#name=Regions with enrichment >= 5
#description= Algorithm: Enriched Region Detection |  Parameters: |    Read List = Read List filtered on read quality metrics |    Treatment = 1668-WPT-3_sequence_only_sacCer2_sorted |    Control = 1668-WPT-1_sequence_only_sacCer2_sorted |    Enrichment Factor = 5 |    Window Size (bp) = 100 |    Minimum reads in window = 10 |    Window Slide Size (bp) = 50 |    Minimum region size (bp) = 150 |    Minimum reads in region = 15 |    Upstream padding distance for genes = 5000
Chromosome	Start	End	Read Density	Treatment Count	Control Count	Enrichment Factor	Gene Symbol	Longest Transcript	Overlap Type	Distance to TSS	
chrI	191705	191900	0.43367347	85	7	8.048607	SWH1	YAR042W	Upstream	-811
chrI	228053	228249	0.46700507	92	11	5.5436387				
chrI	228651	228849	0.2914573	58	7	5.49199				
chrI	228851	229247	0.80604535	320	45	4.7134323				
chrI	229251	229449	0.6633166	132	15	5.8328724				
chrI	229552	230150	0.77963275	467	49	6.3171415				
chrII	5902	6099	0.6666667	132	17	5.146652	YBL112C	YBL112C	Upstream	-3101
chrII	5902	6099	0.6666667	132	17	5.146652	tL(UAA)B1		Upstream	-3583
chrII	5902	6099	0.6666667	132	17	5.146652	YBL113C	YBL113C	Upstream	-3342
chrII	5902	6099	0.6666667	132	17	5.146652	YBL111C	YBL111C	Upstream	-991
chrII	6101	6350	0.964	241	28	5.7050414	YBL112C	YBL112C	Upstream	-3326
chrII	6101	6350	0.964	241	28	5.7050414	tL(UAA)B1		Upstream	-3358
chrII	6101	6350	0.964	241	28	5.7050414	YBL113C	YBL113C	Upstream	-3567
chrII	6101	6350	0.964	241	28	5.7050414	YBL111C	YBL111C	Upstream	-1216
chrII	6651	6900	1.012	253	29	5.7825894	YBL112C	YBL112C	Upstream	-3876
chrII	6651	6900	1.012	253	29	5.7825894	tL(UAA)B1		Upstream	-2808
chrII	6651	6900	1.012	253	29	5.7825894	YBL113C	YBL113C	Upstream	-4117
chrII	6651	6900	1.012	253	29	5.7825894	YBL111C	YBL111C	Upstream	-1766
chrII	7601	7849	0.58232933	145	15	6.4073224	YBL112C	YBL112C	Upstream	-4826
chrII	7601	7849	0.58232933	145	15	6.4073224	PAU9		CDS-Exon	8
chrII	7601	7849	0.58232933	145	15	6.4073224	tL(UAA)B1		Upstream	-1858
chrII	7601	7849	0.58232933	145	15	6.4073224	YBL111C	YBL111C	Upstream	-2716
chrII	8901	9096	0.38265306	75	7	7.1017118	PAU9		Upstream	-1265
chrII	8901	9096	0.38265306	75	7	7.1017118	tL(UAA)B1		Upstream	-585
chrII	8901	9096	0.38265306	75	7	7.1017118	YBL111C	YBL111C	Upstream	-3989
chrII	9451	9650	1.81	362	44	5.4532537	PAU9		Upstream	-1817
chrII	9451	9650	1.81	362	44	5.4532537	tL(UAA)B1		CDS-Exon	-33
chrII	9451	9650	1.81	362	44	5.4532537	YBL111C	YBL111C	Upstream	-4541
chrII	36202	36650	2.7572384	1238	129	6.3610783	tF(GAA)B		CDS-Exon	31
chrII	36202	36650	2.7572384	1238	129	6.3610783	ATP1	YBL099W	Upstream	-624
chrII	36202	36650	2.7572384	1238	129	6.3610783	BNA4	YBL098W	Upstream	-2716
chrII	36202	36650	2.7572384	1238	129	6.3610783	BRN1	YBL097W	Upstream	-4402
chrII	45251	45449	0.30653265	61	8	5.0540514	ROX3	YBL093C	Upstream	-435
chrII	45251	45449	0.30653265	61	8	5.0540514	RPL32		Upstream	-625
chrII	45251	45449	0.30653265	61	8	5.0540514	AVT5		Upstream	-4221
chrII	45251	45449	0.30653265	61	8	5.0540514	MRP21	YBL090W	Upstream	-3472
chrII	63002	63250	1.1686747	291	38	5.075855	TEL1	YBL088C	Upstream	-3747
chrII	63002	63250	1.1686747	291	38	5.075855	YBL086C	YBL086C	Upstream	-527
chrII	63002	63250	1.1686747	291	38	5.075855	RPL23A		Upstream	-2391
chrII	63002	63250	1.1686747	291	38	5.075855	BOI1	YBL085W	Upstream	-747
chrII	197351	197800	4.54	2043	190	7.127128	FMT1	YBL013W	Upstream	-4484
chrII	251301	251500	0.505	101	12	5.578789	HHT1	YBR010W	Upstream	-4929
chrII	251301	251500	0.505	101	12	5.578789	DSF2		Upstream	-383
chrII	266301	266500	2.51	502	63	5.2815695	YBR013C	YBR013C	Upstream	-521
chrII	266301	266500	2.51	502	63	5.2815695	tT(AGU)B		CDS-Exon	22
chrII	266301	266500	2.51	502	63	5.2815695	YBR016W	YBR016W	Upstream	-3847
chrII	326751	327000	2.568	642	69	6.1671677	tV(UAC)B		CDS-Exon	-11
chrII	326751	327000	2.568	642	69	6.1671677	FMP23		Upstream	-4956
chrII	326751	327000	2.568	642	69	6.1671677	TCM62	YBR044C	Upstream	-817
chrII	326751	327000	2.568	642	69	6.1671677	QDR3		Upstream	-2930
chrII	347501	347750	2.244	561	55	6.7608294	tL(UAA)B2		CDS-Exon	24
chrII	347501	347750	2.244	561	55	6.7608294	tQ(UUG)B		Upstream	-3200
chrII	347501	347750	2.244	561	55	6.7608294	PRP6	YBR055C	Upstream	-326
chrII	347501	347750	2.244	561	55	6.7608294	YBR056W	YBR056W	Upstream	-252
chrII	390252	390451	0.765	153	17	5.965438	ECM8	YBR076W	CDS-Exon, 5'UTR	-18
chrII	390252	390451	0.765	153	17	5.965438	ECM33		Upstream	-2767
chrII	405751	406100	3.0885713	1081	113	6.340844	tR(UCU)B		CDS-Exon	53
chrII	405751	406100	3.0885713	1081	113	6.340844	tD(GUC)B		CDS-Exon	-29
chrII	405751	406100	3.0885713	1081	113	6.340844	SPT7	YBR081C	Upstream	-680
chrII	405751	406100	3.0885713	1081	113	6.340844	TEC1	YBR083W	Upstream	-3238
chrII	466851	467050	0.65	130	17	5.0686727	CYC8	YBR112C	Upstream	-1186
chrII	466851	467050	0.65	130	17	5.0686727	RAD16	YBR114W	Upstream	-292
chrII	475502	475700	0.67839193	135	16	5.592598	LYS2	YBR115C	Upstream	-1681
chrII	475502	475700	0.67839193	135	16	5.592598	TEF2	YBR118W	Upstream	-2064
chrII	475502	475700	0.67839193	135	16	5.592598	MUD1		Upstream	-3731
chrII	475502	475700	0.67839193	135	16	5.592598	TKL2	YBR117C	CDS-Exon	830
chrII	645101	645350	2.148	537	65	5.475966	ERV15	YBR210W	Upstream	-320
chrII	645101	645350	2.148	537	65	5.475966	tE(UUC)B		CDS-Exon	63
chrII	645101	645350	2.148	537	65	5.475966	NGR1	YBR212W	Upstream	-2656
chrII	645101	645350	2.148	537	65	5.475966	tC(GCA)B		Upstream	-2152
chrII	645101	645350	2.148	537	65	5.475966	DUR1,2	YBR208C	Upstream	-3020
chrII	701651	701900	0.556	139	18	5.118493	YBR242W	YBR242W	Upstream	-2890
chrII	701651	701900	0.556	139	18	5.118493	YBR238C	YBR238C	Upstream	-4478
chrII	701651	701900	0.556	139	18	5.118493	THI2	YBR240C	CDS-Exon	62
chrII	701651	701900	0.556	139	18	5.118493	ERT1		Upstream	-1837
chrII	702551	702800	0.528	132	13	6.730237	YBR242W	YBR242W	Upstream	-1990
chrII	702551	702800	0.528	132	13	6.730237	THI2	YBR240C	Upstream	-838
chrII	702551	702800	0.528	132	13	6.730237	YBR241C	YBR241C	CDS-Exon, 3'UTR	1375
chrII	702551	702800	0.528	132	13	6.730237	ERT1		Upstream	-2737
chrII	702551	702800	0.528	132	13	6.730237	GPX2	YBR244W	Upstream	-4848
chrII	811602	811849	0.7580645	188	20	6.230568	COS2	YBR302C	Upstream	-252
chrII	811902	812098	0.6751269	133	16	5.5097446	COS2	YBR302C	Upstream	-527
chrII	812703	813000	0.8187919	244	29	5.5768847	COS2	YBR302C	Upstream	-1378
chrIII	15	199	0.08648649	16	2	5.3026114	YCL075W	YCL075W	Upstream	-2019
chrIII	15	199	0.08648649	16	2	5.3026114	YCL074W	YCL074W	Upstream	-2717
chrIII	281	549	0.64684016	174	12	9.610983	YCL075W	YCL075W	Upstream	-1711
chrIII	281	549	0.64684016	174	12	9.610983	YCL074W	YCL074W	Upstream	-2409
chrIII	552	750	0.7386935	147	16	6.089718	YCL075W	YCL075W	Upstream	-1475
chrIII	552	750	0.7386935	147	16	6.089718	YCL074W	YCL074W	Upstream	-2173
chrIII	1501	1700	0.48	96	11	5.784667	YCL075W	YCL075W	Upstream	-526
chrIII	1501	1700	0.48	96	11	5.784667	YCL074W	YCL074W	Upstream	-1224
chrIII	2101	2399	0.5585284	167	19	5.8258953	YCL075W	YCL075W	CDS-Exon, 5'UTR	124
chrIII	2101	2399	0.5585284	167	19	5.8258953	YCL074W	YCL074W	Upstream	-574
chrIII	2401	2600	0.485	97	10	6.429416	YCL075W	YCL075W	CDS-Exon	374
chrIII	2401	2600	0.485	97	10	6.429416	YCL074W	YCL074W	Upstream	-324
chrIII	3451	3647	0.39593908	78	10	5.1700463	YCL074W	YCL074W	CDS-Exon	725
chrIII	3751	4000	0.656	164	19	5.721239				
chrIII	4301	4499	0.45728642	91	9	6.7019114				
chrIII	5302	5499	0.540404	107	10	7.0922427	VBA3		Upstream	-4306
chrIII	5551	5800	0.564	141	15	6.230568	VBA3		Upstream	-4031
chrIII	6251	6450	0.49	98	8	8.119623	VBA3		Upstream	-3356
chrIII	6652	6849	0.4848485	96	11	5.784667	YCL073C	YCL073C	CDS-Exon	1576
chrIII	6652	6849	0.4848485	96	11	5.784667	VBA3		Upstream	-2956
chrIII	6852	7200	0.63037246	220	25	5.8328724	YCL073C	YCL073C	CDS-Exon	1300
chrIII	6852	7200	0.63037246	220	25	5.8328724	VBA3		Upstream	-2680
chrIII	7301	7500	0.455	91	12	5.026434	YCL073C	YCL073C	CDS-Exon	926
chrIII	7301	7500	0.455	91	12	5.026434	VBA3		Upstream	-2306
chrIII	7752	7950	0.4874372	97	11	5.844924	YCL073C	YCL073C	CDS-Exon	475
chrIII	7752	7950	0.4874372	97	11	5.844924	VBA3		Upstream	-1855
chrIII	8802	9200	0.7418546	296	28	7.007022	YCL073C	YCL073C	Upstream	-675
chrIII	8802	9200	0.7418546	296	28	7.007022	HMLALPHA1	YCL066W	Upstream	-4281
chrIII	8802	9200	0.7418546	296	28	7.007022	VBA3		Upstream	-705
chrIII	11402	11599	0.82828283	164	19	5.721239	YCL073C	YCL073C	Upstream	-3174
chrIII	11402	11599	0.82828283	164	19	5.721239	HMLALPHA1	YCL066W	Upstream	-1782
chrIII	29651	29850	0.835	167	22	5.031455	YCL056C	YCL056C	Upstream	-2391
chrIII	29651	29850	0.835	167	22	5.031455	SPB1	YCL054W	Upstream	-1699
chrIII	41452	41650	0.77386934	154	20	5.103763	YCL048W-A	YCL048W-A	CDS-Exon, 5'UTR	63
chrIII	41452	41650	0.77386934	154	20	5.103763	APA1	YCL050C	Upstream	-2750
chrIII	41452	41650	0.77386934	154	20	5.103763	YCL049C	YCL049C	Upstream	-827
chrIII	41452	41650	0.77386934	154	20	5.103763	SPS22		Upstream	-614
chrIII	42201	42400	0.675	135	17	5.2636213	APA1	YCL050C	Upstream	-3499
chrIII	42201	42400	0.675	135	17	5.2636213	YCL049C	YCL049C	Upstream	-1576
chrIII	42201	42400	0.675	135	17	5.2636213	SPS22		CDS-Exon	135
chrIII	78452	78648	0.6345178	125	11	7.5321183	FRM2	YCL026C-A	Upstream	-3265
chrIII	78452	78648	0.6345178	125	11	7.5321183	AGP1	YCL025C	Upstream	-631
chrIII	78452	78648	0.6345178	125	11	7.5321183	HBN1		Upstream	-4564
chrIII	78452	78648	0.6345178	125	11	7.5321183	KCC4	YCL024W	Upstream	-612
chrIII	78651	78800	0.94666666	142	18	5.228964	FRM2	YCL026C-A	Upstream	-3440
chrIII	78651	78800	0.94666666	142	18	5.228964	AGP1	YCL025C	Upstream	-806
chrIII	78651	78800	0.94666666	142	18	5.228964	HBN1		Upstream	-4739
chrIII	78651	78800	0.94666666	142	18	5.228964	YCL021W-A	YCL021W-A	Upstream	-4895
chrIII	78651	78800	0.94666666	142	18	5.228964	KCC4	YCL024W	Upstream	-437
chrIII	127651	127900	2.3	575	71	5.3679605	SUF2		Upstream	-4129
chrIII	127651	127900	2.3	575	71	5.3679605	YCR007C	YCR007C	Upstream	-1047
chrIII	127651	127900	2.3	575	71	5.3679605	tN(GUU)C		CDS-Exon	61
chrIII	127651	127900	2.3	575	71	5.3679605	SAT4	YCR008W	Upstream	-693
chrIII	142701	142950	2.596	649	84	5.1211233	snR33		Upstream	-281
chrIII	142701	142950	2.596	649	84	5.1211233	SUF16		CDS-Exon	-56
chrIII	142701	142950	2.596	649	84	5.1211233	POL4	YCR014C	Upstream	-1894
chrIII	142701	142950	2.596	649	84	5.1211233	YCR015C	YCR015C	Upstream	-657
chrIII	142701	142950	2.596	649	84	5.1211233	YCR016W	YCR016W	Upstream	-807
chrIII	168201	168449	2.6626506	663	81	5.4253573	tQ(UUG)C		CDS-Exon	43
chrIII	168201	168449	2.6626506	663	81	5.4253573	RHB1	YCR027C	Upstream	-330
chrIII	168201	168449	2.6626506	663	81	5.4253573	NPP1		Upstream	-1990
chrIII	293701	293950	0.76	190	22	5.72441	HMRA2	YCR096C	Upstream	-290
chrIII	293701	293950	0.76	190	22	5.72441	tT(AGU)C		Upstream	-1656
chrIII	293701	293950	0.76	190	22	5.72441	OCA4		Upstream	-4570
chrIII	293701	293950	0.76	190	22	5.72441	HMRA1		CDS-Exon	-7
chrIII	295201	295750	2.5436363	1399	133	6.9721365	HMRA2	YCR096C	Upstream	-1940
chrIII	295201	295750	2.5436363	1399	133	6.9721365	tT(AGU)C		CDS-Exon	-6
chrIII	295751	295949	0.8341709	166	22	5.0013266	HMRA2	YCR096C	Upstream	-2315
chrIII	306252	306448	0.822335	162	20	5.368894	YCR101C	YCR101C	Upstream	-3323
chrIII	306252	306448	0.822335	162	20	5.368894	PAU3	YCR104W	Upstream	-1448
chrIII	306252	306448	0.822335	162	20	5.368894	YCR100C	YCR100C	Upstream	-4132
chrIII	306252	306448	0.822335	162	20	5.368894	YCR102C	YCR102C	Upstream	-886
chrIII	306252	306448	0.822335	162	20	5.368894	ADH7	YCR105W	Upstream	-2717
chrIII	306252	306448	0.822335	162	20	5.368894	RDS1	YCR106W	Upstream	-4605
chrIII	307752	307998	0.39676112	98	15	4.330466	YCR101C	YCR101C	Upstream	-4848
chrIII	307752	307998	0.39676112	98	15	4.330466	PAU3	YCR104W	CDS-Exon, 5'UTR	77
chrIII	307752	307998	0.39676112	98	15	4.330466	YCR102C	YCR102C	Upstream	-2411
chrIII	307752	307998	0.39676112	98	15	4.330466	ADH7	YCR105W	Upstream	-1192
chrIII	307752	307998	0.39676112	98	15	4.330466	RDS1	YCR106W	Upstream	-3080
chrIII	316006	316617	0.872549	534	67	5.2828255	YCR108C	YCR108C	CDS-Exon	-126
chrIV	34	243	0.23809524	50	5	6.6282644	COS7	YDL248W	Upstream	-1664
chrIV	251	450	0.57	114	14	5.397301	COS7	YDL248W	Upstream	-1452
chrIV	452	649	0.45454547	90	8	7.456797	COS7	YDL248W	Upstream	-1252
chrIV	951	1200	0.816	204	24	5.6340246	COS7	YDL248W	Upstream	-727
chrIV	951	1200	0.816	204	24	5.6340246	MPH2	YDL247W	Upstream	-4910
chrIV	1301	1550	0.788	197	28	4.6634574	COS7	YDL248W	Upstream	-377
chrIV	1301	1550	0.788	197	28	4.6634574	MPH2	YDL247W	Upstream	-4560
chrIV	9101	9349	0.5301205	132	16	5.468318	SOR2	YDL246C	CDS-Exon	531
chrIV	9551	9750	0.565	113	10	7.4899387	SOR2	YDL246C	CDS-Exon	106
chrIV	10052	10349	0.9194631	274	35	5.188984	SOR2	YDL246C	Upstream	-444
chrIV	12152	12349	0.5555556	110	12	6.075909	SOR2	YDL246C	Upstream	-2494
chrIV	12152	12349	0.5555556	110	12	6.075909	HXT15	YDL245C	CDS-Exon	1110
chrIV	12152	12349	0.5555556	110	12	6.075909	THI13	YDL244W	Upstream	-3954
chrIV	13151	13350	0.425	85	10	5.6340246	SOR2	YDL246C	Upstream	-3494
chrIV	13151	13350	0.425	85	10	5.6340246	HXT15	YDL245C	CDS-Exon	110
chrIV	13151	13350	0.425	85	10	5.6340246	THI13	YDL244W	Upstream	-2954
chrIV	14351	14549	0.63316584	126	16	5.219758	SOR2	YDL246C	Upstream	-4694
chrIV	14351	14549	0.63316584	126	16	5.219758	HXT15	YDL245C	Upstream	-1090
chrIV	14351	14549	0.63316584	126	16	5.219758	THI13	YDL244W	Upstream	-1754
chrIV	61152	61350	0.5527638	110	13	5.608531	WHI4	YDL224C	Upstream	-4904
chrIV	61152	61350	0.5527638	110	13	5.608531	HBT1	YDL223C	Upstream	-845
chrIV	61152	61350	0.5527638	110	13	5.608531	FMP45		CDS-Exon	551
chrIV	61152	61350	0.5527638	110	13	5.608531	DTD1		Upstream	-3992
chrIV	83451	83750	2.29	687	77	5.9137893	tG(GCC)D1		CDS-Exon	51
chrIV	83451	83750	2.29	687	77	5.9137893	NHP2	YDL208W	Upstream	-3913
chrIV	83451	83750	2.29	687	77	5.9137893	YDL211C	YDL211C	Upstream	-3187
chrIV	83451	83750	2.29	687	77	5.9137893	UGA4	YDL210W	Upstream	-671
chrIV	83451	83750	2.29	687	77	5.9137893	GLE1	YDL207W	Upstream	-4649
chrIV	102951	103150	0.62	124	11	7.4718614	MGT1	YDL200C	Upstream	-1982
chrIV	102951	103150	0.62	124	11	7.4718614	YDL199C	YDL199C	CDS-Exon	304
chrIV	102951	103150	0.62	124	11	7.4718614	SEC31	YDL195W	Upstream	-4159
chrIV	359451	359700	2.756	689	87	5.2492805	tK(UUU)D		CDS-Exon	-2
chrIV	359451	359700	2.756	689	87	5.2492805	PSA1	YDL055C	Upstream	-2816
chrIV	359451	359700	2.756	689	87	5.2492805	LHP1	YDL051W	Upstream	-4377
chrIV	410251	410650	2.23	892	102	5.796482	YDL025C	YDL025C	Upstream	-3246
chrIV	410251	410650	2.23	892	102	5.796482	GPD1	YDL022W	Upstream	-1373
chrIV	410251	410650	2.23	892	102	5.796482	GPM2	YDL021W	Upstream	-3501
chrIV	410251	410650	2.23	892	102	5.796482	DIA3	YDL024C	Upstream	-595
chrIV	411405	411600	0.23979592	47	6	5.1921406	YDL025C	YDL025C	Upstream	-4298
chrIV	411405	411600	0.23979592	47	6	5.1921406	GPD1	YDL022W	Upstream	-321
chrIV	411405	411600	0.23979592	47	6	5.1921406	GPM2	YDL021W	Upstream	-2449
chrIV	411405	411600	0.23979592	47	6	5.1921406	DIA3	YDL024C	Upstream	-1647
chrIV	434201	434400	2.92	584	72	5.3762584	YDL012C	YDL012C	Upstream	-2785
chrIV	434201	434400	2.92	584	72	5.3762584	tT(AGU)D		CDS-Exon	34
chrIV	434201	434400	2.92	584	72	5.3762584	tS(AGA)D1		Upstream	-3470
chrIV	434201	434400	2.92	584	72	5.3762584	RPT2	YDL007W	Upstream	-3745
chrIV	435251	435500	1.16	290	35	5.49199	YDL012C	YDL012C	Upstream	-3860
chrIV	435251	435500	1.16	290	35	5.49199	tT(AGU)D		Upstream	-1041
chrIV	435251	435500	1.16	290	35	5.49199	tS(AGA)D1		Upstream	-2395
chrIV	435251	435500	1.16	290	35	5.49199	RPT2	YDL007W	Upstream	-2670
chrIV	435251	435500	1.16	290	35	5.49199	PTC1	YDL006W	Upstream	-4532
chrIV	437001	437200	0.845	169	18	6.2232037	tT(AGU)D		Upstream	-2766
chrIV	437001	437200	0.845	169	18	6.2232037	YDL007C-A	YDL007C-A	Upstream	-278
chrIV	437001	437200	0.845	169	18	6.2232037	tS(AGA)D1		Upstream	-670
chrIV	437001	437200	0.845	169	18	6.2232037	RPT2	YDL007W	Upstream	-945
chrIV	437001	437200	0.845	169	18	6.2232037	PTC1	YDL006W	Upstream	-2807
chrIV	437651	437950	2.8033333	841	92	6.059098	tT(AGU)D		Upstream	-3466
chrIV	437651	437950	2.8033333	841	92	6.059098	YDL007C-A	YDL007C-A	Upstream	-978
chrIV	437651	437950	2.8033333	841	92	6.059098	tS(AGA)D1		CDS-Exon	30
chrIV	437651	437950	2.8033333	841	92	6.059098	RPT2	YDL007W	Upstream	-245
chrIV	437651	437950	2.8033333	841	92	6.059098	PTC1	YDL006W	Upstream	-2107
chrIV	488651	488900	2.9	725	101	4.7579126	YDR018C	YDR018C	Upstream	-4917
chrIV	488651	488900	2.9	725	101	4.7579126	GCV1	YDR019C	Upstream	-3412
chrIV	488651	488900	2.9	725	101	4.7579126	CIS1	YDR022C	CDS-Exon	-115
chrIV	488651	488900	2.9	725	101	4.7579126	SES1	YDR023W	Upstream	-731
chrIV	488651	488900	2.9	725	101	4.7579126	DAS2		Upstream	-2333
chrIV	488651	488900	2.9	725	101	4.7579126	RPS11A		Upstream	-2738
chrIV	505001	505200	0.605	121	12	6.6834993	PST2	YDR032C	Upstream	-407
chrIV	505001	505200	0.605	121	12	6.6834993	REG1	YDR028C	Upstream	-4223
chrIV	505001	505200	0.605	121	12	6.6834993	RAD28	YDR030C	Upstream	-1829
chrIV	505001	505200	0.605	121	12	6.6834993	MRH1	YDR033W	Upstream	-3045
chrIV	519701	519900	1.99	398	37	7.129863	tL(UAA)D		CDS-Exon	59
chrIV	519701	519900	1.99	398	37	7.129863	tQ(UUG)D1		Upstream	-1170
chrIV	519701	519900	1.99	398	37	7.129863	YDR034W-B	YDR034W-B	Upstream	-1512
chrIV	519701	519900	1.99	398	37	7.129863	YDR034C-D	YDR034C-D	Upstream	-446
chrIV	519701	519900	1.99	398	37	7.129863	YDR034C-C	YDR034C-C	Upstream	-446
chrIV	519701	519900	1.99	398	37	7.129863	ARO3	YDR035W	Upstream	-2014
chrIV	538901	539100	0.475	95	9	6.996501	RSM10	YDR041W	Upstream	-801
chrIV	538901	539100	0.475	95	9	6.996501	ENA2	YDR039C	Upstream	-4420
chrIV	538901	539100	0.475	95	9	6.996501	ENA1	YDR040C	Upstream	-535
chrIV	546102	546300	0.6130653	122	16	5.0540514	NRG1	YDR043C	Upstream	-2833
chrIV	546102	546300	0.6130653	122	16	5.0540514	HEM13	YDR044W	Upstream	-440
chrIV	546102	546300	0.6130653	122	16	5.0540514	snR47		Upstream	-4503
chrIV	546102	546300	0.6130653	122	16	5.0540514	YDR042C	YDR042C	Upstream	-5000
chrIV	550901	551100	0.395	79	10	5.2363286	RPC11	YDR045C	Upstream	-2691
chrIV	550901	551100	0.395	79	10	5.2363286	BAP3	YDR046C	Upstream	-425
chrIV	550901	551100	0.395	79	10	5.2363286	HEM12	YDR047W	Upstream	-859
chrIV	550901	551100	0.395	79	10	5.2363286	YDR049W	YDR049W	Upstream	-2253
chrIV	568801	569050	2.648	662	65	6.750632	tR(UCU)D		CDS-Exon	44
chrIV	568801	569050	2.648	662	65	6.750632	tD(GUC)D		CDS-Exon	-38
chrIV	568801	569050	2.648	662	65	6.750632	YDR056C	YDR056C	Upstream	-3286
chrIV	568801	569050	2.648	662	65	6.750632	TGL2	YDR058C	Upstream	-223
chrIV	568801	569050	2.648	662	65	6.750632	MAK21	YDR060W	Upstream	-1722
chrIV	619901	620199	2.2809365	682	80	5.650595	SSS1	YDR086C	Upstream	-2882
chrIV	619901	620199	2.2809365	682	80	5.650595	tR(ACG)D		CDS-Exon	-11
chrIV	619901	620199	2.2809365	682	80	5.650595	AFR1	YDR085C	Upstream	-3902
chrIV	619901	620199	2.2809365	682	80	5.650595	RRP1	YDR087C	Upstream	-1746
chrIV	619901	620199	2.2809365	682	80	5.650595	SLU7	YDR088C	Upstream	-407
chrIV	619901	620199	2.2809365	682	80	5.650595	YDR089W	YDR089W	Upstream	-2060
chrIV	645051	645350	2.5533333	766	73	6.9551377	GRX3	YDR098C	Upstream	-167
chrIV	645051	645350	2.5533333	766	73	6.9551377	tQ(UUG)D2		CDS-Exon	22
chrIV	645051	645350	2.5533333	766	73	6.9551377	MSH6	YDR097C	Upstream	-1365
chrIV	667901	668200	2.5266666	758	90	5.5824714	tI(AAU)D		CDS-Exon	28
