Hybridization REF	TCGA-AO-A03P-01A-11R-A00Z-07
USP6NL	-0.693625
ABCD4	-0.381
DIMT1L	-0.76475
TEK	1.007375
SLC25A46	-0.62225
LARP7	-1.0292
CD160	0.270833333333333
MT1JP	-1.35983333333333
PHF20	-0.5001875
CPNE4	-1.82675
GTPBP1	-0.381928571428571
RAB33B	0.892166666666667
ALDOC	-2.837875
ZNF212	0.22375
NUDT1	-1.39533333333333
RFPL2	-0.92725
ZNF83	1.09666666666667
GDPD5	-1.3285
PDCD4	0.0995
CEP350	-0.20025
OR10A2	0.53725
CST7	-0.358
CIAO1	-1.0075
SELL	0.364375
OR8J3	0.4
LTBP4	-0.889833333333333
SIRT6	0.47175
CCL19	2.99625
PPIL1	-0.224166666666667
GBP7	0.377833333333333
STK17A	-1.7444
ABR	0.33
OR9G1	0.663
FOXE1	-0.7905
CNGA3	0.634
GML	0.2915
CD38	-2.3695
ZDHHC6	-0.4585
NEFH	-2.966
CTDSP2	1.11483333333333
PGBD5	0.457
CCNY	0.336714285714286
RMND5B	0.741083333333333
ZNF257	-0.4425
FLJ22167	0.378375
EXOSC7	-0.0501666666666667
ROR2	1.42075
MAOA	-2.4135
TNNT3	-0.0676666666666667
GYPC	-1.31725
C7orf33	0.6445
PLIN	-0.0361666666666667
LOC90826	-0.003
RNF4	-0.1275
F8A1	-0.190666666666667
PLEKHG4	-2.022
GRB2	0.86725
HIST1H2AD	0.2705
DUS3L	-2.46883333333333
EIF1	-0.162
RP5-1077B9.4	-0.493666666666667
FPGT	1.219
GDF10	-1.9885
COQ9	0.1635
GCC2	-0.1865
RARRES3	2.200375
PLXNA1	-0.8979
KIAA0100	-0.6535
PMF1	0.19975
FNDC1	5.22425
HS2ST1	-0.372416666666667
CRELD2	-0.38925
C8G	-1.6275
CD82	-0.41675
LIM2	-1.2725
UNQ6490	0.1535
MMP16	0.67325
DRD3	0.203
C5orf26	0.4715
C11orf73	-1.275625
PTP4A2	-0.00925
OR4M2	0.9575
HPCA	-0.821833333333333
SEC14L1	-0.590166666666667
CHFR	-0.019875
EMILIN1	0.05075
NDUFS4	-0.10225
COL18A1	-0.109875
PDZD3	0.0423
C9orf16	0.2
ERBB2IP	-0.0966666666666667
EMX2	2.0445
FUS	-0.7485
TF	-3.8047
CLCN4	-0.818166666666667
CXorf56	0.288
C11orf72	0.30325
ELAC2	0.0351666666666667
NPR1	-0.551
ASS1	-2.8415
USP42	0.31725
POLR2J	-0.388
SEC23IP	0.569833333333333
UQCRC1	0.1045
LOC729603	-0.451
C1orf71	0.142875
POLG	-1.7115
ADAM23	-3.482
TFR2	-0.575
RICTOR	-0.669
MGC39606	0.54425
C19orf55	-0.281625
SNAPC1	-1.34333333333333
GNA11	1.346875
CCDC52	0.433
FSIP1	4.5965
UPF3A	-0.001125
IGSF11	-3.19583333333333
LAGE3	-0.3255
CHST6	-3.537
UNC13B	0.179
TTLL4	-1.38875
ZNF687	0.33375
SDC2	-0.5418
COX7A2	0.337
LAMB4	-0.13975
FAM24A	0.413
LRRTM3	-0.842833333333333
GPHB5	0.45475
OR4C13	0.1045
EIF3EIP	0.00771428571428568
HABP4	-0.064
TMEM125	2.37075
CNTN2	-0.1555
ASNSD1	-0.5365
FUT4	-0.456375
ACF	-3.429
LOC158381	0.584
CDH8	-0.44
AGPS	-0.703833333333333
C4orf18	3.932625
PECI	0.0484166666666667
UNG	-0.30225
GSTP1	-3.21475
DCUN1D5	-2.09166666666667
DKFZP564J0863	-1.0125
SLC9A3R1	2.355375
BCDO2	-0.86775
CHMP7	-1.10025
REM2	0.487
DNHD1	-0.368625
FKBP4	1.190375
ZNF350	3.1395
MGC11102	0.12925
BST1	0.80925
KISS1R	1.084
NCR2	0.2695
DEFB125	-0.0715
UBE2W	1.12575
KRT15	3.3605
C10orf99	0.7395
SCN11A	0.39425
GFI1	-2.68825
RDHE2	2.764
FHL1	-1.78866666666667
OSGEP	0.481166666666667
GATA1	-2.76533333333333
SMC6	-1.5115
TTTY14	-1.4935
LPIN3	-0.2245
RPL4	0.1611
RBPMS	-0.1395
PRPF3	-0.091
EMR1	-2.535
SPATA19	-0.43625
XCR1	0.777
IRX3	2.6803
RBM6	-0.34925
KLF4	-0.557
UNC5CL	-0.726
SEBOX	0.1755
BTK	-1.11325
KRCC1	0.82375
C6orf27	0.3045
SYTL5	-0.496
PRND	2.248875
LOC653319	-1.543
PIGL	-0.82
HUS1	-0.805666666666667
SFRS6	1.08691666666667
C17orf77	0.276
UIMC1	-0.2975
FXYD2	-1.8377
LOC283152	-1.11575
ZNF667	-1.68575
ZCCHC12	-0.78725
TFEC	2.1386
ATP7B	-0.275666666666667
POLD2	-0.614
RG9MTD1	0.37075
ACOT2	1.70183333333333
HIST1H4I	0.79375
PPARGC1A	-1.9267
ETFA	-0.0362
POLRMT	-0.60575
ZNF146	-0.21775
MIA2	-1.966
KLHL6	-1.18666666666667
HOXB5	-1.221
NENF	0.171166666666667
CUGBP1	0.29525
PRSS22	1.02833333333333
CASC4	0.82
CUL4B	0.0683999999999999
CENPJ	-1.3959
PITX1	-0.919666666666667
FLJ31033	0.861833333333333
CELSR3	-0.846
ZNF568	1.01625
ITSN1	-0.41725
EHBP1L1	-1.31816666666667
C19orf2	-0.2995
DCTN1	0.29575
LIN28B	-2.56583333333333
TNKS2	-0.0395
C1QBP	-0.3235
CADPS2	-0.559
SRMS	0.67175
GJA9	0.352333333333333
MGC24975	-2.12366666666667
TRIM45	-0.292333333333333
TSP50	0.166
TCP1	-0.51275
TMED7	0.1205
CMA1	0.2825
CENPL	-0.668666666666667
PTCRA	-0.109
FST	-3.7455
VWCE	-3.54875
PAWR	0.537
ABCC12	0.418166666666667
LDLR	-1.0205
ASTN2	0.6247
LOC441212	-0.725375
GPATCH8	0.03075
TANC2	-0.583416666666667
KIF4A	-1.27675
C18orf18	-0.891
PGM1	-1.24725
KIAA0258	-0.6685
CPD	0.0965
SNCAIP	-1.89425
DCT	-3.7475
HLA-DOA	2.03295454545455
OR11L1	0.5135
UPK1B	0.0141666666666667
DNAJB4	-1.03125
UGT1A8	-0.023
HIST1H4L	-0.891
PECR	-1.06983333333333
HSPA2	0.001
WFIKKN1	-1.309
SERP1	0.488125
SYDE2	1.182
TACR2	1.032
NUP85	-0.11825
CD177	-0.662333333333333
LGR5	-1.69233333333333
PIGG	0.00858333333333333
PTHR1	-2.1625
RAB5A	-0.0579
FLJ13224	-0.198
USP9Y	-1.35916666666667
C7orf53	-1.0545
LRP1B	-1.34075
XAF1	1.9277
ABCG8	0.691
ANKDD1A	-0.8735
DAND5	-1.3895
SPAG6	0.328833333333333
LINCR	0.7635
ZDHHC22	-1.4425
CCDC60	0.4655
THOC7	-1.48583333333333
TCTA	0.2278
OR8K3	0.44525
NY-REN-7	-1.00125
B2M	1.534
C6orf141	1.08875
LPPR4	1.65925
SQLE	-1.17525
SEPHS1	-0.05775
BTBD14B	0.480857142857143
PLRG1	0.13875
SPG7	-0.3105
ZNF614	0.847
PARD6G	1.61733333333333
INPP5B	-0.8659
GRPEL2	0.07325
PPID	-0.3006
TRIM56	-0.0965
UBE2J1	-0.477625
IL20RA	1.05275
LOC387856	0.17225
C1orf107	1.0585
UTS2R	1.1785
C19orf22	-0.244
SAFB2	-0.201
KIAA0652	0.874875
KLRG1	-0.575333333333333
MS4A8B	-0.0236666666666666
FRAG1	0.3915
KIAA1546	0.67175
E2F4	-0.8458
CLEC4M	0.507833333333333
BTBD14A	-1.2115
KIAA0999	0.273
GYPA	-3.079
TAC1	0.3716
TRAIP	-0.818333333333333
KIAA0232	0.6504
ERCC8	-0.46125
GPX4	0.101875
KIAA0368	-0.1795
GPR157	-0.802
CTAGE4	1.931
C9orf30	-0.846833333333333
OR52A1	0.485
HSP90B3P	-0.121
ALG9	-0.9319
BTBD10	0.489
SDK2	0.3785
BAIAP3	0.65
RABGGTB	-0.48225
ANKRD40	0.920166666666666
KRT74	0.5685
CALCOCO2	0.200357142857143
SNCA	-3.56475
TMSL8	-2.50225
C2orf53	-0.715
ESRRB	-0.18725
ARHGAP26	-1.141375
TDRD9	-3.2145
HRAS	0.9595
KLRC4	-2.4355
JAGN1	0.0988333333333333
BSDC1	0.14775
RNF43	0.0329
NDUFAF1	0.1715
PHF12	0.399
OR1L3	0.3925
FOLR2	1.73816666666667
LYZL6	-0.333166666666667
tcag7.1260	-2.3675
WSB1	-1.92933333333333
PROS1	-1.6824
OSTN	0.4015
PSMB8	0.92975
SOCS4	-0.42725
DDIT4L	2.16375
MAS1	-0.046
MGC34796	1.224
CSHL1	0.2405
TBCCD1	0.644333333333333
ZBTB7C	0.313
AP2S1	-0.801
P15RS	1.8286
VAT1	0.1088
SHANK3	0.715
TUFM	-0.170833333333333
THEG	-0.32125
KRT34	-1.593
SGSM3	-0.32425
TOMM22	-0.811625
SOCS3	0.754333333333333
CPO	0.291
POP4	-0.04725
BHLHB3	-0.36825
MALL	0.63325
OR1B1	-0.2185
PARK2	0.429
GPR124	0.37225
LCE1E	0.4195
RUVBL2	0.90475
CGRRF1	0.0272
ACPL2	0.27275
WNT10B	-1.137
BAIAP2L2	-2.093
ISCA1	0.4665
C1orf125	-0.01625
RPAP1	-1.05
RAI16	-1.491
RPL27	0.07
NLRP9	0.5555
EPN1	1.243
LOC388610	-0.61575
SLC35A1	0.9078
GAL	-3.904
SLC14A2	0.3015
RDH11	-0.384333333333333
FAM138F	0.2355
AUH	0.772
FLJ40243	-0.725
C14orf129	-0.0801666666666667
MBD2	0.415666666666667
ABHD14B	0.769375
PIGT	-0.763375
ALS2CR4	-0.847625
ALAS1	-0.0405
FOXO1	0.390833333333333
CRLF3	-0.718
C20orf107	0.446
FARS2	0.8665
CCDC28A	0.79025
NPHP3	-1.241
OR13F1	0.645
TSEN54	0.46975
DEFB106B	0.2621
OR8B4	0.002
STH	1.1545
ZC3H14	-0.546875
CBX2	-0.476
TMEM49	-1.64275
C6orf21	0.937
FLJ20920	1.45
CRTAP	0.506
DDX50	-0.039
STYXL1	-0.134
BLVRB	-0.9985
LOC147650	-0.104166666666667
MMP24	-0.98925
GRID1	1.07716666666667
BANF1	0.0773333333333333
CTAGEP	1.04075
HMBS	-1.93375
SLC25A24	0.0305
C14orf50	-1.24975
MRO	0.1695
SLC25A15	0.13975
FAM84B	1.8294
TDP1	-0.592
C16orf78	0.0363333333333333
C11orf57	0.036875
RFK	0.113625
ZFYVE9	-0.16175
STCH	-1.1509
WIBG	0.768
LOC283871	-0.5985
GBA2	-0.068
NDUFB3	-0.89825
HSD17B13	-0.304
GRIN3A	0.897333333333333
FMNL1	-1.3345
SEPT7	-1.2114
GNLY	2.921
GRAMD1C	0.967166666666667
ZNF165	1.83575
USP38	0.33075
FAM83A	-2.98183333333333
C14orf24	0.551833333333333
ARMCX3	0.334375
ARHGDIB	0.0485
AK1	0.893125
KIAA1045	0.329
DNAJB13	-0.307333333333333
NEU2	0.2355
HIST1H4B	-0.766166666666667
FAM20B	-0.0254
HES2	1.71421428571429
FAM73B	-0.3446
LOC388381	0.3185
INTS7	-0.513272727272727
AMPH	0.1545
ZNF775	0.117
UCKL1	0.725166666666667
C10orf97	0.22075
C1orf161	0.142
ALDH1L1	-1.7795
FLJ39378	0.55375
SLC23A1	-2.2785
RBM4B	0.13775
THAP4	0.3825
OGFRL1	0.16725
KIAA0831	0.576625
PPP1R15A	1.35733333333333
C1orf96	0.130142857142857
C12orf11	-1.9485
BMF	0.28275
MAN1A1	-0.285625
KIAA1600	-0.280333333333333
NLGN4X	1.179
ALOX12	-1.14483333333333
RB1CC1	0.4737
NEIL2	-0.525
EIF4E	0.0666818181818182
ABHD5	-0.3375
EXOC4	0.187
CIP29	-0.0865
BATF2	1.8785
SLC29A4	-0.928875
HTR4	0.57375
EMB	-1.46575
TRAF6	0.41975
LMNB1	-1.01225
FAM19A5	-0.993875
SHE	1.0605
PIK3C2B	0.69575
C15orf15	2.043
USP15	-0.5398
TCEAL2	0.26625
C5orf39	-0.605833333333333
PTGER2	-1.5845
SLC31A1	-0.4926875
IFT172	-0.37425
ADAM29	0.02375
GFOD1	-1.4575
ST7L	1.05083333333333
C15orf26	-1.57775
PKN3	-1.2695
CNTD1	4.31066666666667
COMMD1	-0.155625
NTRK2	2.86041666666667
FOXN3	-0.306
MFGE8	-0.689
PFKFB2	1.21933333333333
TAS2R4	0.16125
ENTHD1	-0.178666666666667
PRMT5	0.500625
MGC16384	-1.426125
LOC442229	-0.2755
TSKU	1.9855
KRTCAP3	2.496375
PDLIM1	2.8053
KCNS2	0.01875
RNF126	-0.441
CEP63	-0.12925
CLIC4	-0.82075
hCG_1990170	-0.85175
ACR	0.5559
KLK7	0.30325
ALOX5AP	1.6715
RIPK3	3.08125
TAS2R9	0.2545
C19orf18	3.1935
BIRC6	-0.221
ZNF16	2.1085
RFT1	-0.23925
SLC8A2	-0.50425
TACC1	-1.20975
ITGAD	0.98825
SAMHD1	0.47875
SH3PXD2B	0.6939
EPC2	1.1185
C20orf85	0.345125
ATP13A2	0.432666666666667
KRT4	0.327
CAPNS1	0.171
MDM2	1.01033333333333
PCDH20	0.60925
KCNK9	1.0235
OR2C1	-0.396
KLHDC3	0.1205
IPPK	1.1585
EFHD2	-0.2985
GALR3	1.2385
NBEA	0.725333333333333
ABCA6	1.3744
CLDN3	0.0315
AKT2	-0.113642857142857
EGFR	-2.9952
RBM16	0.387375
ZDHHC3	0.209
SLC25A4	-0.0531666666666667
CYB5B	-1.696
CPXM1	-0.244
NDRG1	-1.063
FLJ43826	-0.50475
OR5L2	0.6055
FARP2	-0.1982
MRPL46	1.2065
LDHAL6B	0.4042
MAPKAPK3	-0.0343333333333333
NCAM2	-2.10125
PRKD2	0.212833333333333
ZFP36L1	0.1129
CYSLTR1	-1.29575
OR4C3	0.419
HIST1H2AJ	2.9185
CCNB2	-1.32422222222222
ZNF10	0.034625
TMEM175	0.6095
FAM134A	1.11283333333333
TIGD4	-0.303
PCNP	-0.42075
MGC39715	-0.2515
LQK1	-2.16975
CREB1	-0.0197
TMPRSS3	-3.6585
C4orf32	0.21875
LAT	-1.92075
KCNA3	-0.539
SKIV2L2	-0.4145
ROPN1B	-3.75975
tcag7.23	1.585
CDT1	-1.61375
ZHX2	1.2385
CD28	-3.82725
ZNF624	1.58425
SEPT2	-0.219416666666667
SOHLH2	-0.56325
MCOLN3	-1.145625
UNQ1945	0.7895
MASP2	-1.331
ZNRF3	-0.1319
GPATCH3	0.0575
AGL	0.367
QRICH2	0.332
PSD4	0.900333333333333
CCNB1IP1	-0.30475
ENPP7	-0.3385
OBFC1	-0.6075
KCNG3	-1.40975
C14orf79	1.81058333333333
ENPEP	2.23966666666667
SCT	1.4815
SKI	0.697875
SEC61G	-0.7085
CAPN11	0.04875
ATXN7L3	0.84175
DBNDD1	0.220333333333333
FAIM	-0.40925
ANKRD36	-1.72
GABRP	-0.6394
TACSTD2	1.56916666666667
EIF3J	-0.4425
PPP2R2A	-1.70425
TEKT4	-0.8675
PVALB	-0.796
F10	-3.08016666666667
FAM134C	1.1028
COMP	4.742125
EFCBP1	-3.63353333333333
SCLT1	-0.0655
TAL1	-1.0872
ACSL1	0.3575
ABCC5	-0.645083333333333
ABL1	-0.501722222222222
RBBP7	0.0675
PTPRG	-0.73825
NCOR1	-0.0423
SPINK4	1.34466666666667
TXNRD1	-1.3723
TNRC15	0.8455
C9orf138	0.967625
UBE2H	0.3235
BRDT	0.659166666666667
C8orf31	1.043
CCNE2	-1.30509090909091
SLC6A8	-0.79475
CALCR	-3.29225
PPP1CB	0.395166666666667
ABHD8	0.06975
ARF5	0.66
SLC24A4	0.139
CCT3	0.75025
ZNF121	0.25
SLC3A2	-0.0703
OR13A1	0.4435
SLC5A10	-0.02975
RAD50	0.9735
IER5	0.68225
MTHFD1L	-2.906
MBTPS2	0.23325
MVK	-0.42425
NCL	-0.2948
PSMD10	-0.007
MOBP	0.577714285714286
FLJ32894	-1.1385
HRH1	-1.33033333333333
C5orf30	0.339
NUDT16L1	0.6567
RASGRP3	3.46983333333333
PRKRIP1	-0.5043
CCDC75	-0.41175
LOC253970	0.375
KIAA1239	0.30325
MED21	-0.12325
SYT11	-0.5955
NTSR2	0.0685
EGFL11	-0.3295
CXorf59	0.691
OR2A25	0.37075
SPTBN2	-2.049
LRMP	-1.951
RNF111	0.02975
PTH	1.0185
LOC619208	0.564666666666667
KIAA0895	0.65775
RANBP5	-0.834125
P2RY10	0.0788333333333333
NME5	4.22033333333333
DDX21	-0.0315
LRSAM1	-0.0165
HDAC11	0.675833333333333
VMO1	2.30375
NOLA2	0.381166666666667
ADAR	1.34983333333333
MTO1	-1.0415
SF4	0.543666666666667
P2RX1	0.0606666666666667
HBM	0.12175
EN2	1.44
C14orf172	0.13075
TM9SF2	0.5359
INHBE	-1.1485
TCTE3	-0.6215
TOX2	-2.95875
CTAGE3	0.597375
HBB	3.3468
MED15	-0.9795
CASR	0.60625
C6orf66	-0.554166666666667
MTPN	-0.4765
UNC50	-0.37375
C21orf33	-0.08
IRF2	0.997625
PGR	1.95883333333333
GPR84	1.694
CROCCL1	-1.99675
SRPX	-2.5885
BRE	0.322166666666667
FGF10	0.1835
SDC3	-0.4655
ZRSR1	0.787666666666667
DKFZP434P211	-1.144625
SOX6	-0.0335
RPUSD2	0.52075
C14orf173	-0.52525
MAPK11	-0.392166666666667
TBC1D22A	0.233
FAM123A	-0.2615
COL4A6	-3.60766666666667
TOMM70A	0.1975
NAB1	-0.96475
MGC16385	0.582875
TSPAN18	-0.0523333333333333
MED31	-0.16775
PLG	0.25
CAPSL	1.0855
ZNF532	-0.4719
ASB14	0.56775
CA8	-4.45025
NUDT16P	1.29333333333333
SLFN11	-1.849
LRRIQ2	0.02
NOL7	-0.204833333333333
BRMS1L	-0.11225
JARID1A	0.1235
PANK2	0.29025
ICAM3	-0.41575
MDS1	-0.8565
TAF8	-0.46875
RNF139	1.574
ZNF594	0.477166666666667
ADAM8	1.81025
SFTPC	-0.2025
MAN2B2	0.96975
RGS12	0.2979375
EIF1AY	-4.26991666666667
LRRIQ1	1.32516666666667
GPR150	1.27925
CCDC21	-0.713666666666667
PRRG3	-0.01875
SAA4	-3.7505
RAPGEF5	1.11825
ZCCHC2	1.05966666666667
MGC39372	-0.313
PPP4R2	0.152666666666667
CDCA2	-2.7845
OR4D5	0.569
PTGFRN	-0.103
SIGLEC5	-0.208666666666667
C19orf61	-0.508333333333333
NMUR2	-0.5555
KIAA1586	-0.673833333333333
DAGLA	-0.230666666666667
CHCHD6	0.0395
GPR32	0.405
NEUROD6	0.0763333333333333
SLC2A4RG	0.602875
CA5B	-0.05525
FBXL3	0.4895
MPHOSPH9	-1.06925
HMG2L1	-0.03725
HCN4	0.396
CEACAM19	0.54575
SH2D4B	0.3205
HFE2	-0.067
TGM4	-0.4166
LYPD2	-0.617
TBC1D15	0.14475
MRPS21	0.3764
NONO	0.0325
CLEC5A	1.16775
ITCH	-0.565
MGAT3	-1.50183333333333
MBP	-1.229
RPP25	2.2925
SOSTDC1	-2.741
HRC	1.026
TRIM48	0.2675
TMEM133	-0.3585
ECEL1P2	-0.82525
HOXC11	-1.448
DOK5	-1.62
HELZ	0.472833333333333
LOC348180	-0.00675000000000001
MGC33894	-0.02925
ADRB3	1.7855
DMD	-0.685083333333333
PTRH2	-0.3095
MPEG1	2.3965
NDUFA12	0.326833333333333
KRTAP2-4	0.0374166666666667
STAMBPL1	-1.66883333333333
ADCY2	-0.1432
UNQ6125	0.105
KLHL20	0.155166666666667
SRM	-0.55725
OTC	-0.19875
TMIE	-0.213666666666667
SNX8	-0.18125
LIPK	0.05
CHURC1	0.818416666666666
KLC2	0.554833333333333
HDAC1	-0.229166666666667
FAM128A	0.259833333333333
FNDC3B	-1.1483
MTCP1	-0.326666666666667
WFDC10B	-0.1388
PCDHGB3	0.5
ATRNL1	-2.2226
CAV2	-1.120125
MED26	0.127
DUS1L	1.4035
CHRM3	-1.29625
NEK9	0.45
WARS2	-0.192
TBX22	0.363
TOMM40	-1.11575
RP6-213H19.1	-1.48683333333333
TUBGCP5	-0.73025
IGSF6	4.5715
TPPP	1.05816666666667
UNQ6190	0.2125
GSTM5	0.515125
BTD	0.698833333333333
PDCD1LG2	0.0143333333333333
SNRPB2	0.650333333333333
ERICH1	-2.09375
APOA4	-1.474125
HOXA11	-1.406
NARG1	-0.1745
MKX	0.9355
RAB28	-0.331214285714286
PKP3	1.27775
SH3GL2	-1.9085
CTSO	2.29175
RPN2	-0.1375625
IL28RA	-0.414833333333333
SFMBT1	-0.30375
WDR57	-0.830875
FER1L3	0.07575
HSF5	0.413666666666667
TTC9B	-0.066
C4BPA	-3.752
ALB	-3.63692307692308
SORBS3	-0.503375
UPF2	-0.2745
JPH1	0.0315
AGBL2	0.70375
DOPEY1	1.103
TERF1	-0.15775
KIF22	-0.636
NINJ1	1.5605
SEC61A2	-0.249
HIST1H1D	-0.069
SFXN4	-0.547875
UCP3	0.1249
ZNF703	1.16716666666667
MYL6B	-0.2055
TREM1	1.4565
OR52E6	0.0935
CKMT2	0.32575
HLA-C	1.90675
SLC13A3	-0.0715
TIMP4	-3.57225
SLIT2	0.7935
RSF1	-0.555222222222222
LONRF1	-1.992
MON1A	-0.242666666666667
CACNG6	-0.958666666666667
DPPA4	-4.772
ZSWIM3	-0.73
ZNF804A	0.248333333333333
CCIN	0.7425
SLC25A31	-0.2295
KCNMB4	-1.35225
RABL5	0.626875
GALNS	-0.3364
STX6	0.867875
HIST1H1C	-1.456
CIDEB	0.688375
CASP4	-0.92
PDK3	-0.4437
KCNJ11	1.2395
TPR	-0.29125
ZSCAN20	-0.0825
MTX2	-0.1055
HIST1H2BH	0.51875
LOC283767	-0.8635
LYRM7	-1.13866666666667
BRD3	1.45883333333333
HIST1H2BO	0.07075
MAGEB10	0.7175
SLC45A1	1.29325
SERPINA3	-0.3828
KIAA0143	1.0605
KCNJ16	-0.511666666666667
KRT79	-0.398
FABP2	-0.367
NUT	-0.0165
ZNF57	-0.2015
FBXL4	0.309375
CLEC9A	1.1665
UGT8	-1.24133333333333
BMP2K	-0.4325
MAPK4	-3.26925
SLC25A23	-0.6017
HINT1	-1.2318
KRTAP13-1	0.022
SFXN5	0.1262
CHCHD2	0.0825833333333334
FAM3D	-0.0695
NDP	-2.04775
RHOBTB1	2.2575
SLC4A4	-1.523625
RPL38	0.84675
HTF9C	-0.236166666666667
AP2A2	0.832
ZBTB46	-0.3595
MAP7D1	0.105125
AOX1	-2.17983333333333
CYR61	0.073
DTNA	1.89557142857143
JRKL	-0.5805
TMOD3	1.23725
EEA1	0.1923
ADCK5	-0.11825
IL1R1	-1.084
KLK3	0.448928571428572
HRSP12	-0.674
KTN1	0.068
LOH11CR2A	-0.2484
RELL2	-1.7425
MAB21L1	1.42125
C20orf59	-0.780333333333333
PHKB	-0.00725
ADAM2	-1.48583333333333
TBC1D8B	0.658666666666667
FAM13A1	-1.6880625
LAPTM4B	1.08958333333333
LCN8	-0.2895
TMEM147	0.387
SYT4	0.385666666666667
XPO7	-1.5925
C9orf62	1.33575
GPR75	-0.117
TRIM5	0.06925
APOC1	-0.434333333333333
RNASE4	0.664666666666667
PARD6B	1.9865
ARID1A	0.325083333333333
TPD52L3	0.019
RRAGB	1.45616666666667
RCN2	0.2775
HIST2H2BE	0.00687499999999999
STARD7	-0.09325
SHMT2	-0.715
KIAA1751	0.105
MLYCD	0.97375
LOC162632	-0.0995
UQCRH	-1.38825
RP11-217H1.1	0.368125
SDHA	-1.1805
NCLN	0.0506
ZNF17	2.11333333333333
RCBTB2	-2.35025
VEGFB	-0.6041
RP4-747L4.3	-0.68625
COLQ	0.5771
MPN2	-0.685833333333333
DRG2	0.6195
KLRB1	2.9425
ALPK2	-2.012
DNASE2B	0.688
FLJ23834	-0.3925
AXUD1	0.905166666666667
SAFB	-0.256
NSUN4	-0.44225
RFX2	-0.253
MAPK8IP1	-0.644833333333333
FANCD2	-1.13928571428571
ANKZF1	-0.828833333333333
C19orf50	-0.697
DUSP8	1.899125
SENP5	-0.3165
NFKBIL2	-0.1385
LBR	-2.72475
IGFL1	-0.254
LZTS2	0.0525
IL2RG	-0.88075
CCDC51	0.355
KLF3	-0.133
ANKRD37	-1.14275
KCTD14	-2.17666666666667
FZR1	0.692583333333333
SLC44A4	1.8684
ESPL1	-0.6605
GMPR2	0.1013
TBC1D19	-0.452333333333333
ERGIC1	0.431296296296296
ERBB4	3.2072
TSPAN32	-0.240166666666667
MAP4	0.06475
GPHN	0.75275
SLC6A2	-0.33525
HIVEP1	0.3955
DFFB	-0.028
EIF4EBP2	3.083875
DMRT1	-0.304
HSPB6	-0.80625
IER2	0.1915
AIFM1	0.30175
WWC2	-0.852
MRPL4	-0.35625
FLJ21062	0.786333333333333
EPB41L4A	0.478166666666667
SH2D6	0.192
TAF4B	1.3185
GAL3ST3	-0.5505
MALT1	-0.631333333333333
RTDR1	-0.33375
ARVCF	-0.4595
MEX3B	-0.8865
FBXO16	-0.73175
KIF7	-1.27375
C1QC	4.06733333333333
ZNF783	0.129666666666667
ZNF85	-0.3215
MMP13	1.5315
KIAA0329	0.149625
RTP3	-1.392
ZBED3	-0.629
CLGN	-2.5355
SLC25A37	-2.09716666666667
hCG_18290	0.25475
OR5AS1	-0.68
SMARCC2	0.6495
FAM109A	0.406
CCDC12	-0.1035
USF2	0.862
DEPDC7	-2.847
C20orf24	-0.964833333333333
JMJD3	0.513
DSP	-3.60578571428571
SLIC1	0.2375
FAM20A	-0.3695
IRF2BP2	0.447
ZNF230	-0.349
MSN	-0.727785714285714
SLC9A5	-1.6915
